Epoch,Train Loss,Val Accuracy
1,384.20553278923035,81.75
2,41.18259702157229,92.05
3,24.301411177031696,89.60000000000001
4,17.471242017112672,91.55
5,13.14909885963425,91.10000000000001
6,10.89389617915731,93.89999999999999
7,9.876110950892325,95.1
8,8.73764820251381,95.6
9,7.4441146088938694,95.19999999999999
10,7.607821122684982,94.45
11,7.286267965275329,98.05
12,7.108851542347111,95.3
13,6.523817821333068,94.0
14,5.506697852688376,98.15
15,5.704335812362842,97.5
16,5.582186616375111,95.6
17,4.615617593066418,98.25
18,4.955274563806597,97.8
19,5.074348215908685,97.95
20,5.0386044864717405,96.25
