Epoch,Train Loss,Val Accuracy
1,98.5974907875061,42.699999999999996
2,45.185637682676315,72.95
3,29.48612927645445,80.30000000000001
4,19.41829413175583,83.25
5,13.821867115795612,88.94999999999999
6,9.796463372185826,78.14999999999999
7,8.101284932345152,92.35
8,6.361135430634022,79.14999999999999
9,5.246653874404728,89.0
10,4.8767196126282215,96.65
11,4.3831185437738895,94.1
12,3.7564025507308543,96.8
13,3.8086282717995346,95.39999999999999
14,3.179726419970393,97.8
15,3.30670885136351,96.45
16,3.017915034200996,80.45
17,2.9895412144251168,92.80000000000001
18,2.599274982814677,98.9
19,2.66173142218031,96.2
20,2.66977656329982,96.85000000000001
