Epoch,Train Loss,Val Accuracy
1,306.7874727845192,71.3
2,69.53108984231949,80.60000000000001
3,33.50790901854634,87.0
4,21.76869848370552,91.0
5,16.439433565363288,90.95
6,13.014236480928957,96.45
7,9.905833241529763,95.05
8,8.965114513412118,89.5
9,7.734289575368166,97.25
10,7.121834981953725,95.15
11,6.658836584771052,94.95
12,6.54941950191278,96.15
13,5.605033388710581,95.15
14,6.03789612906985,98.45
15,5.211669416981749,93.8
16,4.526251896633767,97.3
17,4.846190741169266,97.0
18,4.757533125986811,98.25
19,5.0317658467101865,98.0
20,3.7675971043645404,98.35000000000001
